Year since Katrina,Affected by Katrina,Rural-urban Continuum Code ,Urban Influence Code,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Personal income (thousands of dollars), Net earnings by place of residence, Personal current transfer receipts,  Income maintenance benefits,  Unemployment insurance compensation,  Retirement and other," Dividends, interest, and rent", Population (persons), Per capita personal income, Per capita net earnings, Per capita personal current transfer receipts,  Per capita income maintenance benefits,  Per capita unemployment insurance compensation,  Per capita retirement and other," Per capita dividends, interest, and rent", Earnings by place of work,  Wages and salaries,  Supplements to wages and salaries,   Employer contributions for employee pension and insurance funds,   Employer contributions for government social insurance,  Proprietors' income,   Farm proprietors' income,   Nonfarm proprietors' income,Total employment (number of jobs), Wage and salary employment, Proprietors employment,  Farm proprietors employment,  Nonfarm proprietors employment,Average earnings per job (dollars), Average wages and salaries, Average nonfarm proprietors' income,Patent Grants
6,0,6,3,20.8,36.9,29.3,12.9,775792,410484,248181,35088,7200,205893,117127,26928,28810,15244,9216,1303,267,7646,4350,356614,243838,66074,48436,17638,46702,8318,38384,9864,7568,2296,268,2028,36153,32220,18927,1
0,0,7,9,29.1,29,20,21.9,494372,304356,129989,14739,2393,112857,60027,22362,22108,13610,5813,659,107,5047,2684,391721,276704,90023,69391,20632,24994,729,24265,12553,10642,1911,359,1552,31205,26001,15635,0
10,0,3,2,17.3,29,32.9,20.7,3039981,1549809,918250,162263,4799,751188,571922,91569,33199,16925,10028,1772,52,8204,6246,2750730,2025024,542602,397628,144974,183104,13507,169597,61995,50297,11698,102,11596,44370,40261,14625,3
7,0,1,1,9.9,21.4,27.3,41.5,23451150,14666362,4213402,598001,124323,3491078,4571386,521356,44981,28131,8082,1147,238,6696,8768,23794440,18354990,3949922,2566844,1383078,1489528,865,1488663,398859,342053,56806,46,56760,59656,53661,26227,387
0,0,7,9,11.9,31.4,25.4,31.2,477568,274411,73192,7035,1615,64542,129965,16315,29272,16820,4486,431,99,3956,7966,347831,237039,61260,41618,19642,49532,13863,35669,11297,8069,3228,637,2591,30790,29377,13766,2
0,0,9,11,20.1,43.9,23,13,129351,86267,25559,2000,177,23382,17525,4198,30813,20550,6088,476,42,5570,4175,89290,36473,10171,7550,2621,42646,31526,11120,2411,1525,886,315,571,37034,23917,19475,0
4,0,8,7,18.7,35.6,29.8,15.8,196620,117119,47532,2681,3759,41092,31969,5521,35613,21213,8609,486,681,7443,5790,115863,68045,17592,11153,6439,30226,11228,18998,3351,2246,1105,468,637,34576,30296,29824,0
9,0,1,1,16.5,36.9,27.5,19.2,23527,714788,214882,22513,2357,190012,173796,29754,37086,24023,7222,757,79,6386,5841,326430,225595,67270,49988,17282,33565,-2700,36265,8705,6111,2594,193,2401,37499,36916,15104,1
5,0,7,9,12.5,30.7,39.7,17,699771,302687,254890,23129,12045,219716,142194,20877,33519,14499,12209,1108,577,10524,6811,309731,200226,66987,47005,19982,42518,3826,38692,9317,6423,2894,313,2581,33244,31173,14991,0
4,0,8,7,30.2,31.7,22.6,15.5,178861,103977,53122,6114,2112,44896,21762,4859,36810,21399,10933,1258,435,9240,4479,90246,27287,8737,6589,2148,54222,-1752,55974,1895,922,973,496,477,47623,29595,117346,1
3,0,8,4,29.1,38.9,21.6,10.4,607220,290659,183522,12380,2806,168336,133039,23416,25932,12413,7837,529,120,7189,5682,255934,170784,41572,29671,11901,43578,2440,41138,10306,6062,4244,203,4041,24833,28173,10180,0
6,0,1,1,4,23.6,29.5,42.9,22221018,15544941,2455768,96094,131670,2228004,4220309,390810,56859,39776,6284,246,337,5701,10799,15604701,11473428,2841065,1922757,918308,1290208,13368,1276840,288606,237266,51340,491,50849,54069,48357,25110,277
2,0,8,7,34.5,33.8,20.1,11.7,134855,77067,37356,6341,462,30553,20432,6269,21511,12293,5959,1011,74,4874,3259,71968,41244,13111,10663,2448,17613,15316,2297,2269,1730,539,104,435,31718,23840,5280,0
1,0,7,11,20.4,33.5,33.7,12.5,425877,326224,53711,4644,808,48259,45942,13115,32473,24874,4095,354,62,3680,3503,302489,204036,51947,37231,14716,46506,13206,33300,7638,5545,2093,374,1719,39603,36796,19372,1
2,0,2,2,15,27.6,37.5,19.9,7113352,4726832,892285,109613,12966,769706,1494235,217567,32695,21726,4101,504,60,3538,6868,4670638,3405191,914518,636120,278398,350929,-4168,355097,125287,101136,24151,878,23273,37280,33669,15258,28
4,0,8,7,15.9,40.6,29.3,14.2,250055,149569,57747,3379,1381,52987,42739,6885,36319,21724,8387,491,201,7696,6208,116945,56431,15877,11536,4341,44637,33458,11179,3363,1961,1402,448,954,34774,28777,11718,0
8,0,1,1,10.6,27.9,32.8,28.7,34519258,21151908,6661629,885076,121743,5654810,6705721,886595,38935,23857,7514,998,137,6378,7563,32467276,25113959,5657601,3774280,1883321,1695716,2124,1693592,589421,496005,93416,288,93128,55083,50632,18186,55
1,0,1,1,8,27.6,30.2,34.1,20236321,14447080,1624550,67012,40492,1517046,4164691,380799,53142,37939,4266,176,106,3984,10937,15053257,10924852,2573353,1733478,839875,1555052,4467,1550585,295121,247619,47502,581,46921,51007,44120,33047,284
0,0,6,6,13.6,35.4,36.3,14.7,415947,285269,57214,4458,912,51844,73464,12595,33025,22649,4543,354,72,4116,5833,270661,183707,45791,30036,15755,41163,7247,33916,7151,5282,1869,315,1554,37849,34780,21825,0
0,0,1,1,30.3,37.2,21,11.5,345398,224886,64781,8286,739,55756,55731,12985,26600,17319,4989,638,57,4294,4292,136502,87990,22644,16557,6087,25868,5410,20458,4809,3003,1806,251,1555,28385,29301,13156,1
5,0,8,7,10.3,32.7,32,25,96964,44221,24945,1330,1180,22435,27798,3080,31482,14357,8099,432,383,7284,9025,37176,22385,6899,4607,2292,7892,604,7288,1486,831,655,131,524,25017,26937,13908,0
9,0,6,6,27.7,31.7,27.2,13.4,433190,331689,62088,7159,600,54329,39413,7909,54772,41938,7850,905,76,6869,4983,316099,103778,24064,16187,7877,188257,168979,19278,4038,2745,1293,448,845,78281,37806,22814,0
7,0,7,9,11.2,36.4,30.3,22,1369502,654082,405977,26940,9266,369771,309443,44175,31002,14807,9190,610,210,8371,7005,732145,503345,126104,85885,40219,102696,-2744,105440,24132,16861,7271,501,6770,30339,29853,15575,15
8,0,6,6,17,34.8,35.4,12.7,961832,474414,204115,14546,2326,187243,283303,18277,52625,25957,11168,796,127,10245,15501,587296,340410,79400,55668,23732,167486,-6391,173877,12197,8246,3951,1074,2877,48151,41282,60437,1
6,0,1,1,20.8,26.2,33.2,19.8,64038851,41169591,13770701,2343509,969301,10457891,9098559,2062381,31051,19962,6677,1136,470,5071,4412,40636001,27679658,8275957,6171693,2104264,4680386,197657,4482729,850962,645503,205459,1087,204372,47753,42881,21934,157
5,0,9,12,15,30.4,35.4,19.2,204034,108246,65126,11075,3330,50721,30662,8312,24547,13023,7835,1332,401,6102,3689,71118,41822,11974,9012,2962,17322,1147,16175,3066,1497,1569,530,1039,23196,27937,15568,0
5,0,3,2,15.2,41.2,27.1,16.5,455637,261761,140585,16241,4387,119957,53291,17193,26501,15225,8177,945,255,6977,3100,180589,107099,30013,21349,8664,43477,707,42770,5452,3732,1720,396,1324,33123,28697,32304,0
1,0,7,11,16.2,28.2,37.8,17.7,1313290,690924,356226,43060,8601,304565,266140,44487,29521,15531,8007,968,193,6846,5982,791288,458372,151981,113889,38092,180935,22457,158478,22235,15235,7000,680,6320,35587,30087,25076,0
7,0,7,9,29.8,28,27.2,15.1,379683,288675,50418,4416,923,45079,40590,8037,47242,35918,6273,549,115,5609,5050,394190,252802,51782,34415,17367,89606,-4878,94484,5616,4331,1285,292,993,70191,58370,95150,0
7,0,8,7,14.2,36,38.6,11.2,187407,90247,71854,9485,2118,60251,25306,5961,31439,15140,12054,1591,355,10108,4245,130280,91222,30743,24396,6347,8315,1685,6630,2863,2150,713,192,521,45505,42429,12726,0
5,0,6,6,7.5,39.1,33.2,20.2,644479,412983,112241,6884,6571,98786,119255,16335,39454,25282,6871,421,402,6048,7301,459697,297382,98210,68276,29934,64105,18611,45494,11823,8955,2868,857,2011,38882,33208,22623,10
8,0,6,6,21.5,36,23.4,19.1,372267,213147,103833,8453,1134,94246,55287,10185,36551,20928,10195,830,111,9253,5428,179941,102772,28402,21441,6961,48767,16995,31772,5598,3230,2368,845,1523,32144,31818,20861,0
2,0,1,1,15.5,38.5,33.3,12.7,2800165,1960450,470067,36902,20192,412973,369648,91130,30727,21513,5158,405,222,4532,4056,1038206,701946,215034,155646,59388,121226,-2237,123463,32477,22518,9959,1155,8804,31967,31173,14024,21
7,0,4,3,7.6,29.5,31.4,31.5,3003805,1842330,510061,46073,7621,456367,651414,60327,49792,30539,8455,764,126,7565,10798,1575246,994621,256230,179190,77040,324395,2773,321622,37096,26582,10514,294,10220,42464,37417,31470,7
5,0,9,12,11.5,30.7,34.6,23.3,92673,53200,23795,1459,464,21872,15678,2385,38857,22306,9977,612,195,9171,6574,46298,20945,5746,3891,1855,19607,9329,10278,1385,789,596,302,294,33428,26546,34959,0
6,0,4,3,8,29.1,28,35,9892217,6646055,1388908,78452,100960,1209496,1857254,189076,52319,35150,7346,415,534,6397,9823,4765220,2620380,703531,494369,209162,1441309,10672,1430637,95598,63285,32313,1031,31282,49846,41406,45734,92
5,0,9,8,25.5,37.4,27.8,9.3,29092,219705,320,7818,3535,79578,46753,15853,28525,13859,11234,1187,187,9860,3432,218611,162172,41015,29710,11305,15424,-1687,17111,5149,4291,858,145,713,42457,37794,23999,0
1,0,1,1,28.7,27.5,24.7,19.1,10123070,5918668,2317432,362307,31899,1923226,1886970,320131,31622,18488,7239,1132,100,6008,5894,15847995,12200219,2831091,1975631,855460,816685,0,816685,277562,253595,23967,0,23967,57097,48109,34075,68
6,0,4,5,13.3,27.2,31.6,27.9,1937503,1156797,447430,60602,18364,368464,333276,72687,26655,15915,6156,834,253,5069,4585,1085160,763574,225570,172854,52716,96016,21020,74996,31121,24352,6769,482,6287,34869,31356,11929,1
8,0,9,12,12.8,36,40.8,10.4,73262,35542,22629,2106,188,20335,15091,1921,38137,18502,11780,1096,98,10586,7856,39823,17032,5562,4154,1408,17229,3614,13615,957,604,353,169,184,41612,28199,73995,0
3,0,2,2,16.2,38.8,25.3,19.7,1978704,1379149,338637,24463,5814,308360,260918,55051,35943,25052,6151,444,106,5601,4740,1286846,954624,231115,155150,75965,101107,2373,98734,27665,22488,5177,555,4622,46515,42450,21362,4
6,0,4,5,14.8,36.4,29.9,18.9,2200046,1156940,663633,76329,13126,574178,379473,70736,31102,16356,9382,1079,186,8117,5365,1636107,1164871,330033,233503,96530,141203,-8752,149955,40337,32107,8230,1634,6596,40561,36281,22734,5
6,0,1,1,8.1,33.7,31.6,26.6,5435344,3712390,1014452,101341,37300,875811,708502,147140,36940,25230,6894,689,254,5952,4815,2151001,1442901,382585,268204,114381,325515,21996,303519,58033,42031,16002,1035,14967,37065,34329,20279,15
4,0,9,8,12.7,22.6,36.6,28.1,256449,160777,34665,3394,3130,28141,61007,10041,25540,16012,3452,338,312,2803,6076,150561,95661,24731,15851,8880,30169,6238,23931,5191,3009,2182,257,1925,29004,31792,12432,0
10,0,3,2,8.9,31.5,32,27.5,5430851,3319965,1115853,107196,27174,981483,995033,133435,40700,24881,8363,803,204,7356,7457,4530975,3392057,817376,566589,250787,321542,24780,296762,92276,78682,13594,738,12856,49102,43111,23084,38
7,0,9,10,9.4,40.5,32.1,18,177504,110643,23978,1520,198,22260,42883,3579,49596,30915,6700,425,55,6220,11982,104874,33444,8149,5632,2517,63281,49388,13893,2120,1141,979,517,462,49469,29311,30071,1
4,0,9,12,24.1,31,23.3,21.7,14235,167441,118700,8308,3000,107392,156608,12379,35766,13526,9589,671,242,8675,12651,130451,82446,21973,15867,6106,26032,1764,24268,4389,2748,1641,89,1552,29722,30002,15637,1
8,0,9,8,9.5,32.6,37.3,20.6,42987,26968,6361,530,237,5594,9658,1045,41136,25807,6087,507,227,5353,9242,39444,21240,4733,2887,1846,13471,3725,9746,729,448,281,106,175,54107,47411,55691,0
3,0,2,2,16.6,40.4,32.3,10.8,1676499,1117014,354162,36852,17182,300128,205323,65167,25726,17141,5435,566,264,4606,3151,862476,594705,181766,132499,49267,86005,31533,54472,24169,18077,6092,1034,5058,35685,32898,10769,10
10,0,1,1,5.5,19.1,37.9,37.5,22349010,14975828,3004538,156401,41120,2807017,4368644,373469,59842,40099,8045,419,110,7516,11697,12249412,8564104,2025626,1395007,630619,1659682,-4484,1664166,218962,158729,60233,1181,59052,55943,53954,28181,161
2,0,1,1,3,13.1,32,51.9,14636230,11831252,573436,29855,14562,529019,2231542,267177,54781,44282,2146,112,55,1980,8352,6446875,4592780,858242,532384,325858,995853,-2581,998434,146445,97032,49413,938,48475,44022,47333,20597,83
3,0,3,2,21.3,38.4,27.9,12.5,2517880,1542829,604773,74027,20704,510042,370278,81930,30732,18831,7382,904,253,6225,4519,1687572,1148473,347469,264584,82885,191630,94276,97354,39183,31515,7668,822,6846,43069,36442,14221,2
1,0,7,8,22.1,30.3,23.6,24,985387,643678,195097,14554,3635,176908,146612,36375,27090,17696,5363,400,100,4863,4031,730942,474401,150138,114838,35300,106403,20572,85831,22183,17760,4423,749,3674,32951,26712,23362,0
0,0,6,4,20.3,43.9,25.8,10,1141014,697476,274341,22575,9362,242404,169197,44837,25448,15556,6119,503,209,5406,3774,557561,357683,111203,81279,29924,88675,23566,65109,18940,12797,6143,1373,4770,29438,27951,13650,4
1,0,8,6,15,42.4,28.7,14,252859,160894,51816,3268,434,48114,40149,7622,33175,21109,6798,429,57,6313,5268,182182,113612,30165,21122,9043,38405,23115,15290,4891,3661,1230,371,859,37248,31033,17800,1
1,0,3,2,27,23.6,34.1,15.3,2860131,1916898,481379,64276,21339,395764,461854,91112,31391,21039,5283,705,234,4344,5069,1539944,958260,264581,184480,80101,317103,51412,265691,38627,28811,9816,983,8833,39867,33260,30079,3
8,0,4,3,16,35.1,32.3,16.5,3045362,1627940,988077,114273,18587,855217,429345,96874,31436,16805,10200,1180,192,8828,4432,1747021,1254756,323636,221831,101805,168629,16926,151703,44893,35507,9386,903,8483,38915,35338,17883,8
4,0,1,1,23.9,44.2,19.4,12.5,812073,506429,165821,13974,11840,140007,139823,23195,35011,21834,7149,602,510,6036,6028,227398,135122,36544,26114,10430,55732,11459,44273,7403,4637,2766,654,2112,30717,29140,20963,3
2,0,1,1,11.3,24.4,33.3,31,16598862,11658961,1812543,154850,27571,1630122,3127358,413571,40135,28191,4383,374,67,3942,7562,10156171,7787799,1605466,1056763,548703,762906,2571,760335,241693,193451,48242,313,47929,42021,40257,15864,99
8,0,7,11,8.2,25.8,39.6,26.4,457449,309969,73385,5004,954,67427,74095,9783,46760,31684,7501,511,98,6892,7574,355369,183525,47166,32784,14382,124678,67577,57101,7358,5057,2301,449,1852,48297,36291,30832,0
8,0,7,9,7.5,32.3,38.5,21.7,525674,357508,84789,5403,678,78708,83377,10832,48530,33005,7828,499,63,7266,7697,371079,150260,41403,30076,11327,179416,148060,31356,7471,4346,3125,1167,1958,49669,34574,16014,0
7,0,4,3,6.8,25.5,37.8,29.8,1549085,928878,255001,18000,16538,220463,365206,34426,44998,26982,7407,523,480,6404,10608,952475,603628,150313,98177,52136,198534,0,198534,28010,19596,8414,0,8414,34005,30804,23596,5
7,0,6,6,19.6,45.1,25.9,9.4,313613,148450,117209,13713,2667,100829,47954,13570,23111,10940,8637,1011,197,7430,3534,115098,72257,22329,16386,5943,20512,-3533,24045,4656,2600,2056,914,1142,24720,27791,21055,1
10,0,7,10,11.5,46.5,26,15.9,211065,111268,61168,4488,1309,55371,38629,4765,44295,23351,12837,942,275,11620,8107,122638,79193,26451,19303,7148,16994,-61,17055,2490,2056,434,31,403,49252,38518,42320,1
0,0,1,1,22.4,33.2,30.6,13.8,3858122,2824732,615519,59087,9220,547212,417871,140692,27422,20077,4375,420,66,3889,2970,1715428,1164794,279317,195009,84308,271317,4050,267267,57045,38393,18652,2399,16253,30071,30339,16444,14
9,0,3,2,13.1,43.5,23.1,20.4,5615637,3564685,1176008,91033,22218,1062757,874944,136510,41137,26113,8615,667,163,7785,6409,3137594,1969514,615086,449643,165443,552994,137140,415854,67212,52067,15145,1121,14024,46682,37827,29653,14
4,0,5,8,12.6,34.7,35.7,17,1809236,1388329,204796,12309,18245,174242,216111,44133,40995,31458,4640,279,413,3948,4897,1732856,1277572,290676,175933,114743,164608,-2006,166614,29597,25417,4180,221,3959,58548,50264,42085,5
1,0,7,9,23.3,36.3,27.8,12.6,128699,66136,42234,3663,227,38344,20329,6048,21280,10935,6983,606,38,6340,3361,64503,45711,13262,9653,3609,5530,1103,4427,2502,1672,830,470,360,25781,27339,12297,1
0,0,1,1,10.4,21.5,21.5,46.5,19570249,14614599,1274139,54077,53227,1166835,3681511,312617,62601,46749,4076,173,170,3732,11776,14928896,11326968,2368430,1600357,768073,1233498,2219,1231279,217095,180271,36824,369,36455,68767,62833,33775,310
2,0,6,3,27.9,28.5,24.5,19,1249778,754298,228004,17159,1432,209413,267476,32434,38533,23256,7030,529,44,6457,8247,772002,471423,109714,79032,30682,190865,2729,188136,21545,15241,6304,2189,4115,35832,30931,45720,2
6,0,3,2,26.8,28.3,28.9,15.9,8309420,4765195,2126949,384122,104282,1638545,1417276,246050,33771,19367,8644,1561,424,6659,5760,5325521,3416012,956306,590022,366284,953203,414118,539085,120041,99473,20568,2955,17613,44364,34341,30607,6
3,0,3,2,19.7,31.3,24.3,24.7,3458814,2281084,649403,67176,16324,565903,528327,109803,31500,20774,5914,612,149,5154,4812,2891148,2116183,563768,405926,157842,211197,5839,205358,73915,61260,12655,1581,11074,39114,34544,18544,7
3,0,6,6,12.7,43.2,29.4,14.7,393519,235870,91515,7804,2148,81563,66134,12447,31616,18950,7352,627,173,6553,5313,304604,195993,57285,40644,16641,51326,19876,31450,8635,6622,2013,552,1461,35276,29597,21526,1
9,0,7,11,13.7,34.7,37.6,14,151855,70568,52527,3890,769,47868,28760,4486,33851,15731,11709,867,171,10671,6411,99495,72670,22703,17822,4881,4122,-1661,5783,2098,1687,411,86,325,47424,43076,17794,0
4,0,1,1,15.7,27.6,26.2,30.6,38611158,25227398,5696779,439487,279178,4978114,7686981,801808,48155,31463,7105,548,348,6209,9587,25697264,18936780,4456513,3054322,1402191,2303971,20787,2283184,490819,388574,102245,570,101675,52356,48734,22456,147
7,0,6,6,8.2,33.4,37.7,20.7,842416,507967,149200,10411,3504,135285,185249,17358,48532,29264,8595,600,202,7794,10672,529511,259002,72037,51260,20777,198472,132343,66129,10874,7725,3149,681,2468,48695,33528,26795,1
7,0,6,6,36.7,33.5,20,9.9,1169116,829291,193198,19314,6832,167052,146627,37653,31050,22025,5131,513,181,4437,3894,790225,461374,122279,85095,37184,206572,64246,142326,19443,12808,6635,2177,4458,40643,36022,31926,0
8,0,1,1,19.9,38.8,27.1,14.3,919082,496028,305932,44273,5169,256490,117122,32722,28088,15159,9349,1353,158,7838,3579,470188,336517,89776,62873,26903,43895,14450,29445,11314,8850,2464,416,2048,41558,38025,14377,3
8,0,1,1,13.8,47.6,25.8,12.8,1365115,818458,383439,38891,7847,336701,163218,44126,30937,18548,8690,881,178,7630,3699,506314,308769,99503,77083,22420,98042,6172,91870,14149,8978,5171,1261,3910,35784,34392,23496,3
2,0,5,8,15.4,31.4,31.1,22.1,5584327,3295609,1012555,146972,18652,846931,1276163,177733,31420,18542,5697,827,105,4765,7180,3700721,2570462,627416,436295,191121,502843,7651,495192,103435,73134,30301,3847,26454,35778,35147,18719,7
7,0,2,2,7.6,21.2,32.8,38.4,9727615,5979736,2047552,265000,71255,1711297,1700327,282631,34418,21157,7245,938,252,6055,6016,9197238,6739760,1868551,1352354,516197,588927,5104,583823,188417,155757,32660,818,31842,48813,43271,18335,60
5,0,2,2,17,43.2,26.7,13.2,1584001,871494,531761,59380,14232,458149,180746,56872,27852,15324,9350,1044,250,8056,3178,624608,425507,114965,82321,32644,84136,-1558,85694,17517,12168,5349,1425,3924,35657,34969,21838,1
7,0,6,5,8.8,42.5,34,14.8,1541425,878668,401908,23930,11496,366482,260849,41345,37282,21252,9721,579,278,8864,6309,1066522,740496,235389,171637,63752,90637,17985,72652,24578,19896,4682,486,4196,43393,37218,17315,4
8,0,7,11,31.8,29.2,26.7,12.4,372603,290759,46896,4229,611,42056,34948,7102,52465,40940,6603,595,86,5922,4921,335536,158559,34738,22173,12565,142239,58212,84027,5763,3844,1919,330,1589,58222,41248,52880,0
9,0,2,2,12.1,30.7,28.7,28.4,10967344,7067051,2100641,240587,19246,1840808,1799652,267733,40964,26396,7846,899,72,6876,6722,7896143,5314944,1316410,906184,410226,1264789,2106,1262683,153975,128804,25171,605,24566,51282,41264,51400,111
1,0,1,1,31.6,28.2,21.1,19.1,20577241,12394687,4907668,718243,70527,4118898,3274886,621109,33130,19956,7901,1156,114,6632,5273,24013653,18109591,4041686,2711929,1329757,1862376,0,1862376,413159,362263,50896,0,50896,58122,49990,36592,40
0,0,2,2,21.6,34.5,26,17.9,3356994,2297980,607530,52095,8099,547336,451484,115336,29106,19924,5267,452,70,4746,3915,2269304,1586035,392025,277408,114617,291244,-1631,292875,58380,44764,13616,1125,12491,38871,35431,23447,7
7,0,9,10,11.6,39.1,34.2,15.2,324834,119596,135563,8304,3118,124141,69675,10570,30732,11315,12825,786,295,11745,6592,88169,53853,16315,11798,4517,18001,-7,18008,3035,1729,1306,206,1100,29051,31147,16371,0
5,0,2,2,7.7,24.7,33.2,34.4,5011878,3532876,698012,54287,32361,611364,780990,125004,40094,28262,5584,434,259,4891,6248,1578084,1079916,261909,185391,76518,236259,1226,235033,45127,31734,13393,133,13260,34970,34030,17725,25
5,0,3,2,13,28.8,36.7,21.6,2442605,1602245,427000,32797,39739,354464,413360,54988,44421,29138,7765,596,723,6446,7517,2301612,1253028,439903,369881,70022,608681,1573,607108,38440,28649,9791,18,9773,59875,43737,62121,7
9,0,2,2,14.1,42.3,29.1,14.5,2062040,1158015,674384,74970,5893,593521,229641,61538,33508,18818,10959,1218,96,9645,3732,694158,460813,139230,106551,32679,94115,-299,94414,18554,13750,4804,547,4257,37413,33514,22179,1
2,0,7,8,18.9,31.4,37.4,12.3,601425,375672,134067,12318,1102,120647,91686,20554,29261,18277,6523,599,54,5870,4461,441001,332909,88763,61942,26821,19329,-1192,20521,11894,9555,2339,261,2078,37078,34841,9875,2
3,0,3,2,31.3,27.4,26,15.3,7384511,4244339,1738950,268610,52423,1417917,1401222,235272,31387,18040,7391,1142,223,6027,5956,4828967,3366175,927456,596380,331076,535336,119551,415785,121722,101284,20438,3140,17298,39672,33235,24037,8
3,0,4,3,13.3,36.5,31.1,19.1,1808551,1200321,294115,17039,9274,267802,314115,45919,39386,26140,6405,371,202,5832,6841,1187097,817770,214611,150939,63672,154716,49524,105192,29949,22789,7160,1395,5765,39637,35884,18247,20
7,0,1,1,11.2,17.1,24.2,47.5,58575379,38957070,5004821,653902,184943,4165976,14613488,1096535,53419,35527,4564,596,169,3799,13327,49158123,34844234,6798929,4496227,2302702,7514960,6380,7508580,826345,636864,189481,993,188488,59489,54712,39836,793
2,0,2,2,10.9,26.8,37.3,25,15382944,9681760,2786273,293786,52377,2440110,2914911,456150,33723,21225,6108,644,115,5349,6390,11568974,8447875,2164054,1381213,782841,957045,11483,945562,281450,227774,53676,2304,51372,41105,37089,18406,68
3,0,2,2,12.9,30.1,29.5,27.4,18555974,7031279,3187426,119306,50561,3017559,8337269,377178,49197,18642,8451,316,134,8000,22104,8384758,6341991,1356652,919990,436662,686115,-332,686447,214691,160090,54601,230,54371,39055,39615,12625,31
5,0,7,10,25.7,34.1,28.8,11.5,92670,42504,31300,3074,1007,27219,18866,3590,25813,11840,8719,856,281,7582,5255,43387,31350,10808,8617,2191,1229,-4084,5313,1367,887,480,178,302,31739,35344,17593,0
0,0,7,8,11.5,35.4,31.7,21.3,250998,182077,36676,1954,335,34387,32245,6698,37474,27184,5476,292,50,5134,4814,154229,57337,15244,11047,4197,81648,46372,35276,3338,2246,1092,309,783,46204,25528,45052,1
9,0,8,7,10.3,35.9,36.3,17.5,169354,101541,34215,1972,199,32044,33598,3725,45464,27259,9185,529,53,8602,9020,113620,73973,18859,13046,5813,20788,4320,16468,2648,1727,921,307,614,42908,42833,26821,0
0,0,7,11,5.9,17.8,32.7,43.6,450994,290455,35235,2731,869,31635,125304,14456,31198,20092,2437,189,60,2188,8668,368292,247617,59402,40949,18453,61273,3907,57366,12133,8638,3495,156,3339,30355,28666,17181,0
4,0,1,1,29.8,33.1,21.4,15.6,1002245,571614,230666,17185,11394,202087,199965,29542,33926,19349,7808,582,386,6841,6769,363028,246785,64255,46748,17507,51988,4770,47218,12042,7455,4587,260,4327,30147,33103,10912,4
4,0,2,2,33,30.4,25.8,10.9,415488,253647,108972,9907,6116,92949,52869,16657,24944,15228,6542,595,367,5580,3174,156867,99174,26291,18953,7338,31402,2654,28748,5008,3198,1810,204,1606,31323,31011,17900,0
4,0,1,1,18.4,29.6,26.6,25.4,35218272,24023965,6349093,895365,418549,5035179,4845214,898394,39201,26741,7067,997,466,5605,5393,40815636,28054126,6338229,4278985,2059244,6423281,9594,6413687,681846,593130,88716,203,88513,59860,47298,72460,72
9,0,5,8,9.9,32.9,32.1,25,2359281,1515077,425628,40377,5423,379828,418576,55566,42459,27266,7660,727,98,6836,7533,1802898,1153237,293656,202897,90759,356005,18029,337976,38676,31759,6917,576,6341,46615,36312,53300,2
2,0,1,1,20.1,36.5,29,14.3,3431470,2341395,613593,47938,12110,553545,476482,105672,32473,22157,5807,454,115,5238,4509,2371612,1766165,456159,324347,131812,149288,1038,148250,60689,50810,9879,530,9349,39078,34760,15857,4
4,0,1,1,8.6,28.3,34.9,28.2,6941817,4986308,1031436,55044,110440,865952,924073,181082,38335,27536,5696,304,610,4782,5103,2490561,1755256,479976,338627,141349,255329,-720,256049,68483,47320,21163,643,20520,36368,37093,12478,84
2,0,4,5,17.9,43.7,26.5,11.9,1890358,1267317,370929,27147,7159,336623,252112,61571,30702,20583,6024,441,116,5467,4095,1294146,928872,270228,196601,73627,95046,7663,87383,32957,27629,5328,677,4651,39268,33619,18788,3
7,0,4,5,14.8,35.3,32.8,17,1783914,1023326,524121,57838,20803,445480,236467,49828,35801,20537,10519,1161,417,8940,4746,990993,677597,215178,155752,59426,98218,11261,86957,24622,19205,5417,607,4810,40248,35282,18078,5
10,0,7,9,16.5,42.7,29.8,11,367409,210616,91156,6903,506,83747,65637,10215,35968,20618,8924,676,50,8198,6426,698178,486471,171289,130747,40542,40418,22266,18152,8618,7381,1237,252,985,81014,65909,18428,1
8,0,1,1,18.9,27.7,22.6,30.8,91822554,56172787,23167416,3240900,600136,19326380,12482351,2307766,39789,24341,10039,1404,260,8374,5409,47076867,29920376,8986363,6472142,2514221,8170128,0,8170128,895609,631447,264162,0,264162,52564,47384,30928,129
6,0,2,2,17.4,31.8,31.7,19,4497422,2775793,987302,101663,34520,851119,734327,126926,35433,21869,7779,801,272,6706,5785,3845318,2699345,611993,392837,219156,533980,-5031,539011,83834,69818,14016,739,13277,45868,38663,40597,7
1,0,7,11,12.1,35,37.8,15.2,326273,188582,71740,4796,499,66445,65951,11194,29147,16847,6409,428,45,5936,5892,227545,154957,42556,29530,13026,30032,8542,21490,7223,5589,1634,317,1317,31503,27725,16317,1
0,0,7,8,29.5,34.3,24.6,11.6,1141362,663381,339688,34578,4114,300996,138293,41995,27179,15797,8089,823,98,7167,3293,856397,572831,158329,114072,44257,125237,30013,95224,25766,21170,4596,575,4021,33237,27059,23682,2
